Title,Summary,Source,Source,Topic,Business line
StandardAero Signs PW100/PT6A/JT15D Support Agreement with Long-Standing Customer Carolina Aviation Technical Services,"StandardAero has recently signed a Services Agreement with Carolina Aviation Technical Services (C.A.T.S), a Part 145 repair station based at Statesville Regional Airport (SVH) in North Carolina.",AviationPros.com,,Deal,Generic
FlyRight Offering G1000 Training for King Airs,"Charlotte, NC-based FlyRight (Booth C7832) is now including Garmin G1000 avionics training in its initial, recurrent, and custom training in a new full-motion, Level D simulator for King Air 350 and 200 models.",Aviation International News,,New service,Executive
Gulfstream unveils new flagship G700 business jet in challenge to rival Bombardier,"U.S. planemaker Gulfstream on Monday unveiled its widely-expected G700 long-range jet, in a challenge to Bombardier Inc’s (BBDb.TO) flagship Global 7500 aircraft.",Reuters,,New aircraft,Executive
Rolls-Royce enhances technical publications for business aviation customers,"Rolls-Royce is introducing an enhanced version of its technical publications, a digitally optimised version of the technical documents and maintenance manuals for business aviation customers.",Arabian Aerospace,,New service,Executive
Morson Aircraft Engineering Services to Cease Operations,The line maintenance provider says the collapse of Thomas Cook was a factor in its closure planned for the end of 2019.,MRO Network,,Market,Commercial
eFlyer Developmental Prototype Flight Tests Confirm Benefits of Electric Propulsion,"Bye Aerospace announced further progress with its eFlyer 2 developmental prototype flight test program, releasing new data that continues to confirm the benefits of electric aviation.",AviationPros.com,,New technology,Generic
ST Engineering Secures Contracts Worth $1.8b for 3Q2019,Singapore Technologies Engineering Ltd (ST Engineering) announced that its Aerospace and Electronics sectors have secured new contracts with a combined value of about $1.8b for the third quarter (3Q) of 2019.,AviationPros.com,,Deal,Generic
L3Harris Technologies Integrates Advanced Flight Data Analysis Tools into Commercial Aviation Portfolio,"The advanced data analysis tools, added following the acquisition of Flight Data Services, allow operators to quickly identify, quantify and assess safety management system risk factors and performance of equipment.",AviationPros.com,,New service,Commercial
UTC CFO to step down as merger nears; earnings up,"Months ahead of its planned merger with Massachusetts defense contractor Raytheon, United Technologies Corp. on Tuesday announced major personnel changes, including the coming retirement of Executive Vice President and CFO Akhil Johri.",Journal Inquirer,,Team,Generic
PC-12 NGX aircraft launches with Pratt & Whitney PT6 E-Series engine,"Pratt & Whitney, along with Pilatus and Honeywell, have announced the launch of the new PC-12 NGX aircraft, powered by the new Pratt & Whitney PT6 E-Series engine, the company said.",FinancialNews.co.uk ,,New aircraft,Executive
Embraer Looks to Bring Full Fly-By-Wire to Phenoms,"Embraer is looking to make its light Phenom business jets full fly-by-wire, as the aviation industry moves toward giving light jets such a capability, Michael Amalfitano, the president and CEO of Embraer Executive Jets, told Avionics International in an interview here this week during the annual National Business Aviation Association (NBAA) conference.",Avionics International,,Self-awareness,Executive
Building Links in the Blockchain,Last week’s news about the fledgling MRO Blockchain Alliance illustrated that minds in the aftermarket are turning towards better data collaboration.,MRO Network,,New technology,Generic
$45M Contract for Military Aircraft Maintenance,"Illinois-based AAR Aircraft Services Inc., which has a large maintenance facility in Indianapolis, has been awarded a nearly $45 million modification to a previously-awarded contract for work to be performed on the Boeing P-8 Poseidon.",Inside Indiana Business,,Gov. Contract.,Military
FlightSafety Textron Aviation Training to Install a New Cessna Citation Latitude Simulator in Europe,FlightSafety Textron Aviation Training announces the upcoming installation of a new simulator for the Cessna Citation Latitude aircraft in Europe. The exact location will be determined based on Customer needs.,AviationPros.com,,New facility,Executive
FlightSafety Ramps Up To Meet Training Surge,"With pilot and technician demand at an unprecedented high level, legacy training provider FlightSafety International (FSI) is ramping up to meet the challenge. Among many initiatives, the company will launch construction of a new learning center at the Houston Spaceport area of Ellington Airport. ",Aviation International News,,New facility,Generic
Shake-Up Puts Stan Deal In Charge Of Boeing Commercial Airplanes,"Stan Deal moves from leading Boeing Global Services to Boeing Commercial Airplanes, effective immediately.",MRO Network,,Team,Commercial
StandardAero's First Parts Warehouse in Europe To Open,"MRO provider StandardAero has chosen Amsterdam as the site for its first European-based business aviation parts warehouse, the Arizona-based company announced at NBAA-BACE. ",Aviation International News,,New facility,Executive
Boeing Cuts 787 Rate Amid China Trade Tensions,"A day after now-former Boeing Commercial Airplanes CEO Kevin McAllister lost his job amid the crisis surrounding the grounding of the 737 Max, wholly unrelated difficulties involving trade tension between the U.S. and China prompted Boeing to announce a cut in production of its best-selling widebody—the 787 Dreamliner—from 14 to 12 per month starting next year.",Aviation International News,,Geopolitc environment,Commercial
Signature Flight Support's Global Expansion Throughout 2019 Nets 16 Additional Aircraft Handling Locations,"Signature Flight Support grew its worldwide network of Fixed Base Operations (FBOs) and handling stations through the establishment of new locations, acquisitions and licensing agreements.",AviationPros.com,,Expansion,Generic
FlightSafety Introduces Kidnapping Prevention Course,FlightSafety International (Booth C10625) recently launched a course aimed at preventing corporate aircraft passengers and crews traveling abroad from becoming kidnap victims. ,Aviation International News,,New service,Generic
2019 Aviation Week Program Excellence Award Winners,"In the past 16 years, the Aviation Week Network and companies from across the aviation and aerospace industry have evaluated more than 400 programs—in the commercial aviation, space and defense sectors—as part of the Program Excellence Initiative.",Aviation Week,,Service Quality,Generic
Lockheed Martin selects Dassault Systèmes’ 3DEXPERIENCE platform,"Through this multi-year collaboration between the two companies, Lockheed Martin aims to build a digital thread that extends from design through manufacturing for its next generation airplanes and helicopters.",Aerospace Manufacturing,,Deal,Generic
Lockheed Martin Registers Record-large Order Backlog Amid US Military Budget Uncertainty,The future of new US military projects remains in question as long as the Department of Defence is operating on a temporary budget due to disagreements between the Democrats and Republicans.,Sputnik International,,Aircraft sales,Military
Rolls-Royce Unveils New Turbofan Engine,Second version of Pearl series will be exclusively adopted by Gulfstream for its new business jet,American Machinist,,Product,Executive
Embraer realiza primeiro voo de demonstração do E-Jet E2 em Congonhas,"A Embraer realizou a primeira operação com o E195-E2 no aeroporto de Congonhas, em São Paulo. A fabricante brasileira demonstrou a viabilidade de operação do novo avião no aeroporto paulistano.",AERO Magazine ,,Self-awareness,Commercial
Ukraine interested in buying Brazil's Super Tucano aircraft ,The President of Ukraine is interested in buying Super Tucano aircraft,UNIAN-Economy,,Self-awareness,Military
Jet Aviation Signs C-FOQA Agreement with GE Aviation,"et Aviation (Booth N4635), a subsidiary of General Dynamics, and GE Aviation (Booth C10030) signed an agreement for a comprehensive safety and fleet modernization project that includes GE’s branded flight operations quality assurance program, dubbed C-FOQA.",Aviation International News,,Deal,Executive
CDB Aviation Delivers First of Four Embraer E190 Aircraft to Bolivian Airline Amaszonas,"The Embraer regional jets, configured with 110 seats in a single class layout, will modernize the Amaszonas fleet, offering more than double the capacity.",Business Wire ,,Self-awareness,Commercial
Aernnova's Acquisition Of GE Aviation's Aerostructures Business,"Slaughter and May advised GE Aviation on an agreement to sell its aerostructures business at Hamble, UK to Aernnova.",Global Legal Chronicle ,,M&A,Generic
NBAA-BACE: StandardAero Business Aviation launches MRO mobile app,StandardAero Business Aviation has launched a new MRO Project Management service app called myStandardAero.,HMG Aerospace,,New service,Generic
"Safran, Uber Collaborate On eVTOL Cabin",Safran and Uber are displaying a cabin mockup of an urban air taxi concept vehicle this week at NBAA-BACE,Aviation International News,,VTOL,Other
"FlightSafety, Gulfstream prep for G700 training","With Gulfstream’s announcement of its flagship G700, FlightSafety International (FSI) has begun the behind-the-scenes work to develop the training infrastructure needed to support the jet.",Aviation International News,,New service,Executive
Daher Completes Quest Aircraft Acquisition,"The acquisition of the Sandpoint, Idaho-based company aligns with Daher Group’s strategy to intensify its business footprint in the U.S., said Didier Kayat, Daher CEO.",Aviation Week,,M&A,Executive
NBAA-BACE 2019: Jet Aviation set to open Van Nuys FBO and hangar,"Jet Aviation is finishing construction of its new FBO and hangar complex at Van Nuys Airport in Los Angeles, California and expects to open the site before the end of this year.",Business Airport International  ,,New facility,Executive
"Savion Plans Two-Place, Remotely Piloted Jet","Start-up Savion Aerospace is promoting the Savion, a two-person, remotely piloted, liquified natural gas-powered jet aimed at poaching business travelers from the airlines.",Aviation International News,,New aircraft,Executive
XTI Reaches Terms on New Investment in TriFan 600 eVTOL,XTI Aircraft Company this week announced a term sheet agreement for an undisclosed lead investor to provide between $17 million and $29 million in fresh investment for its TriFan 600 hybrid-electric vertical takeoff and landing (eVTOL) aircraft.,Aviation International News,,VTOL,Other
US Air Force officially buying light-attack planes,The service will purchase two to three aircraft each of the Textron Aviation AT-6 and Sierra Nevada Corporation/Embraer Defense & Security A-29 aircraft.,Defense News,,Gov. Contract.,Military
E195-E2 e A220 são avaliados pela TAP Portugal para renovação da frota de aeronaves,"A TAP Air Portugal opera desde 2016 com aviões da Embraer, mas agora a companhia está um novo planejamento, que inclui a substituição desses aviões derivados da Azul.",Aeroflap,,Self-awareness,Commercial
Republic Airways Embraer E170 Temporarily Loses Power To Both Engines,On October 24th a United Airlines flight operated by Republic Airways suffered an engine failure on a flight between Houston Intercontinental and Pittsburgh.,Simple Flying,,Self-awareness,Commercial
"MRO News Briefs, Oct. 20-26",A roundup of aviation aftermarket news from the week of Oct. 20-26.,MRO Network,,Deal,Generic
12 Firms Land Spots on $996M USAF Aircraft Modification Support IDIQ,"Twelve companies have won spots on a potential $996M indefinite-delivery/ indefinite-quantity contract to help the U.S. Air Force engineer, test and integrate modifications into fixed- and rotary-wing aircraft.",GovConWire,,Gov. Contract.,Military
Airbus inaugura instalação de teste para sistemas de propulsão do futuro ,"A diretora de tecnologia da Airbus, Grazia Vittadini, e o CEO da Airbus Defense e Space, Dirk Hoke, abriram oficialmente as instalações de testes da E-Aircraft Systems House na unidade de AIrbus em Taufkirchen / Ottobrunn, ao lado de Ilse Aigner, presidente do Parlamento do Estado da Baviera.",Aeroflap,,New facility,Generic
Airbus vê oportunidades de venda de aeronaves reabastecedoras e de transporte na Ásia-Pacífico,"A Airbus Defense & Space vê o avião de transporte tático A400M como sua principal prioridade de vendas na região Ásia-Pacífico, enquanto também observa oportunidades para aviões-tanque e aeronaves de apoio.",Cavok Brasil ,,Market,Military
Embraer sees market for nearly 300 turboprops in Latin America,Manufacturer confirms interest in returning to the segment where it debuted in aviation 50 years ago,Airway,,Self-awareness,Commercial
WestJet CEO: Boeing gets 'B' grade at best for 737 Max response,The chief executive of WestJet Airlines Ltd. said Boeing Co.'s handling of the 737 Max crisis could have been better. ,BNN Bloomberg,,Service Quality,Commercial
Embraer entrega o primeiro E190-E2 da suíça Helvetic Airways,Mais uma companhia aérea iniciou as operações com a 2ª geração dos E-Jets. A Embraer entregou nesta semana o primeiro avião E190-E2 da suíça Helvetic Airways. ,Aeroflap,,Self-awareness,Commercial
Minister Projects 200/200 Vision for Brazilian Aviation,"Sounding more like a partner than an antagonist of Brazil’s airline industry, the country’s Minister of Infrastructure, Tarciso Freitas, on Monday told the ALTA Airline Leader’s Forum in Brasilia of the government’s goal to increase the number of cities served by airlines to 200, and the number of passengers transported yearly to 200 million.",Aviation International News,,Geopolitc environment,Commercial
Lockheed Martin receives second E-2D multi-year contract,Lockheed Martin has been awarded a second Multi-Year contract for AN/ALQ-217 Electronic Support Measure systems for the U.S. Navy’s E-2D aircraft program.,Aerotech News ,,Gov. Contract.,Military
"Rival da Embraer, Mitsubishi SpaceJet perde encomenda de 100 ","Mais uma notí­cia ruim para o programa SpaceJet, da Mitsubishi Aircraft. A fabricante anunciou nesta quinta-feira (31) que a empresa Trans States Holding, dona de três companhias aéreas, cancelou um contrato de compra de 100 jatos M90, dos quais 50 unidades eram pedidos firmes.   ",Airway,,Self-awareness,Commercial
KC-390 aircraft to be equipped with electronic warfare suite,Elbit Systems Ltd. announced that it won a contract valued at approximately $50 million from the Portuguese Ministry of Defense to supply the Portuguese Air Force (PtAF) with a complete Electronic Warfare (EW) suite and Customer Logistics Support for the new KC-390 multi-mission aircraft.,Military Embedded Systems,,Other serving Embraer airplanes,Military
"FlightSafety International Opens Houston, Texas Learning Center","lightSafety International, the world’s premier professional aviation training company, will build a new Learning Center in the Houston Spaceport area at the Ellington Airport in Houston, Texas.",Area Development Online,,New technology,Generic
Vance Street Capital acquires Eirtech Aviation Services in partnership with company founders,"EAS's turnkey services provide full support to airlines, aircraft leasing companies, private operators and OEMs for all their fleet transition and modificationÂ ",Private Equity Wire  ,,M&A,Commercial
Boeing Recognized for T-7A Aircraft Engineering Work,"Boeing has been honored with an award that recognizes the company’s design work on the T-7A trainer aircraft, also known as the T-X",ExecutiveBiz ,,Product,Military
Construction of aviation training center starts in central China,"Construction of BAA Training (China) Aviation Training Center started Friday in Zhengzhou, capital of central China's Henan Province, its investors said.",Xinhua Net,,New facility,Generic
Lockheed Martin to support French C-130J fleet,"Lockheed Martin Aeronautics will sustain France’s C-130J aircraft fleet under a $12.4 million foreign military sales contract from the US Air Force Life Cycle Management Center, announced on 24 October.",Shephard Media,,Gov. Contract.,Military
Japan gets US nod for $4.5 billion F-15 upgrade package,"The U.S. State Department has approved Japan’s request for an upgrade package for almost a hundred of its F-15 Eagle interceptors, paving the way for the U.S. ally to upgrade its rapidly ageing fleet.",Defense News,,Gov. Contract.,Military
JJ Churchill wins Rolls-Royce's 'Trusted to Deliver Excellence' award,"JJ Churchill specialises in aerospace and defence sectors and has more than 80 years’ experience in production of gas turbine blades, from forgings, castings and solid billet.",PES Media,,Service Quality,Generic
Aircraft Maintenance Company FL Technics to Invest $20m in Indonesian Unit,"Speaking at the Soekarno-Hatta International Airport in Tangerang, Banten, FL Technics Indonesia chief executive Martynas Grigalavicius said the money will be spent on expanding its hangar at the airport to 10,000 square meters and increase its capacity from three aircraft to nine. ",Jakarta Globe,,Investment,Generic
Collins Aerospace signs a major contract with Lufthansa Technik for Airbus A380 landing gear,Collins Aerospace Systems (UTC) and Lufthansa Technik took advantage of the MRO Europe exhibition in London to reveal the signature of a licence contract for the maintenance of the A380's maind landing gear. ,Le Journal de l'Aviation,,Deal,Commercial
EME Aero gets ready to induct its first Pratt & Whitney's GTF engine,"EME Aero (Engine Maintenance Europe) is set to start up soon. The joint-venture formed by Lufthansa Technik and MTU Aero Engines in Poland to service Pratt & Whitney PurePower engines is due to start operations from the beginning of next year, with a first engine to be inducted in December.",Le Journal de l'Aviation,,New facility,Commercial
Former Navy Chief Joins Boeing Board,"Boeing said Friday that the former military head of the U.S. Navy has been elected to its board, part of a broader effort to improve the plane maker's safetyÂ ",The Wall Street Journal,,Team,Generic
Skywise: a look at the new digital alliance between Airbus and Delta for cross-fleet predictive maintenance solutions ,Airbus and Delta Air LInes revealed that they have formed a digital alliance to develop new predictive maintenance services together based on Airbus's Skywise platform.,Le Journal de l'Aviation,,Investment,Commercial
Airbus Rescinds Controversial Royalty Proposal For MROs,"Airbus is backing away from a controversial plan to charge MROs a percentage of their gross invoices, rescinding the proposed mandate a day before the deadline, Aviation Week has learned.",MRO Network,,Deal,Generic
China's first homemade jet takes its first international trip,"You may not have heard of it, but it’s been around for a few years, and it’s kind of a big deal. At least in its homeland. But it’s never left it, and that was a problem — until now, when it’s venturing for the first time outside its native territory.",The Points Guy UK ,,New aircraft,Commercial
"The US Air Force Will Invest in Low-Cost, Disposable Warplanes","The U.S. Air Force is planning to field low-cost, unmanned “disposable” warplanes in the near future, designed to complement manned aircraft in the aerial battlefield.",Popular Mechanics,,Investment,Military
"Brasil quer retorno de Boeing 737 MAX este ano, antes dos EUA","O governo está trabalhando para promover o retorno do avião Boeing 737 MAX a serviço “até o fim do ano”, disse o secretário nacional de Aviação Civil, Ronei Glanzmann, neste domingo.",Money Times,,Geopolitc environment,Commercial
Aviation Safety Bill Targets Challenges Posed by Flight Automation,"Two senators penned legislation to directly address challenges around the automated systems that contributed to two separate crashes of Boeing 737 Max 8 aircraft that occurred over the last year, killing hundreds and grounding Max flights indefinitely.",Nextgov,,Legislation,Commercial
Jet design rules become tough for all aircraft manufacturers,Jet design rules are becoming tougher for all aircraft manufacturers after Boeing crashes last year.,Gulf Today,,Legislation,Commercial
West Star Aviation Announces First Aft Canted Bulkhead Modification,"West Star announces their first Aft Canted Bulkhead Modification for a Citation 680 at their East Alton (ALN) facility. This modification can be performed at any of the three, full-service West Star Aviation Textron Aviation Inc. Authorized Independent Service Facilities.",AviationPros.com,,New service,Executive
Maintenance is evolving at easyJet,"West Star announces their first Aft Canted Bulkhead Modification for a Citation 680 at their East Alton (ALN) facility. This modification can be performed at any of the three, full-service West Star Aviation Textron Aviation Inc. Authorized Independent Service Facilities.",Le Journal de l'Aviation,,Service Quality,Commercial
Garmin® revolutionizes the aviation industry with the first Autoland system for general aviation aircraft,Autoland autonomous flight technology is designed to land an aircraft when the pilot cannot,Business Wire ,,New technology,Generic
Cirrus Aircraft introduces autonomous landing system,"Cirrus Aircraft, whose Vision Center is located in Alcoa adjacent to McGhee Tyson Airport, announced Wednesday that its Safe Return safety system on its Vision Jet, can do just that.",Maryville Daily Times,,-,
"AI-Based Startup Aims to Streamline Aircraft Inspections, Turnarounds",Iberia is working with startup Whispr through the Hangar 51 accelerator program to implement its voice guidance platform within maintenance and airport services.,MRO Network,,Startup,Generic
"Lufthansa Project Looks To Improve Actuator Mx, Life","In a bid to improve the maintenance of and extend the life of primary hydraulic flight control actuators, Lufthansa Technik AG and Politecnico di Torino—the polytechnic university of Turin, Italy—are partnering on the hydraulic diagnostics, or HyDiag, project, to develop an automated, noninvasive diagnostic procedure for initial examination of the actuators.",Aviation International News,,New technology,Generic
Dr Frank Anton of Siemens eAircraft on the future of electric propulsion,"Dr Frank Anton talks about how Siemens, Rolls-Royce and their partners are bringing electric propulsion to GA, in new and perhaps unexpected form | by Philip Whiteman",Pilot Magazine,,New technology,Generic
Piper Unveils Next-gen M600 SLS,"Piper Aircraft is adding to its model lineup a new version of the M600 turboprop single dubbed the M600 SLS (for enhancing safety, luxury, and support). ",Aviation International News,,New aircraft,Executive
Chinese airlines operate 90 Embraer 190 aircraft,"Five Chinese airlines operate 90 Embraer 190 aircraft, about one-sixth of the 565 aircraft of this model built and already delivered by the Brazilian aeronautical company, according to a statement on the company’s activity in the third quarter of 2019.",Macauhub,,Self-awareness,Commercial
"MRO News Briefs, Oct. 27-Nov. 2",A roundup of aviation aftermarket news from the week of Oct. 27-Nov. 2.,MRO Network,,Deal,Generic
Air Astana recebe mais uma unidade do Embraer E190-E2,"A AerCap, empresa irlandesa de aluguel de aeronaves, anunciou hoje que entregou mais uma unidade do Embraer E190-E2 para a companhia aérea do Cazaquistão Air Astana.",AEROIN,,Self-awareness,Commercial
Embraer's New E195-E2 Makes North American Debut,"Embraer executives told a group of journalists gathered at the Brazilian airframer’s Fort Lauderdale, Florida headquarters in mid-October that they’re still bullish on the prospects for the company’s new E-Jets E2 line, despite union scope clauses that will limit sales of the airframer's newest range of passenger jets in the U.S. ",Aviation International News,,Self-awareness,Commercial
"Airbus proposes ECR/SEAD Eurofighter, emphasises German requirement",Airbus Defence and Space (DS) has showcased a new electronic attack and counter-ground-based air defence variant of the Eurofighter combat aircraft as it looks to secure Germany's Tornado replacement requirement.,IHS Jane's 360,,Gov. Contract.,Military
EASA-FAA hold joint expert workshop on additive manufacturing for aviation,"Driven by the recent rapid expansion in industry interest, EASA, the European aviation regulator, has been working, in conjunction with the industry and other regulators, to find the most efficient means by which future regulation of the technology and its applications can be achieved.",3D Printing Media Network,,New technology,Generic
Skyservice Expands MRO Footprint in Canada,"Skyservice Business Aviation, one of Canada’s largest industry service providers, has expanded its MRO footprint with the acquisition of Muskoka Aircraft Center, an approved maintenance organization (AMO) in Gravenhurst, Ontario.",Aviation International News,,Expansion,Generic
Boeing to invest $1 billion in global safety drive: sources,"Boeing Co (BA.N) is planning an initial investment of around $1 billion into industry-wide pilot development as part of a long-term initiative to reduce risks like those faced by the crew in two 737 MAX crashes, people familiar with the matter said.",Reuters,,Investment,Commercial
"Inside MRO News Briefs And Contracts November, 2019","MRO growth in Asia-Pacific, consolidations and drone inspections are highlights for this month.",MRO Network,,Deal,Generic
Textron Subsidiary Enters 737NG Landing Gear Business,"Textron Aviation, through subsidiary Able Aerospace Services, has entered the Boeing 737NG landing gear aftermarket business with the modification, upgrade and sale of its first 737-800 sets, the company said. ",Aviation Week,,Deal,Commercial
"QE Solar launches piloted aircraft inspections for solar PV, powered by Raptor Maps","QE Solar, a third-party O&M and asset management provider, has expanded its internal aerial inspection capabilities to include piloted aircraft. ",Solar Power World,,New service,Generic
Embraer Announces Senior Management Shuffle,Embraer has just announced two new senior management appointments. The company has looked outside the business and made an external appointment to the Chief Financial Officer’s position and looked internally to fill the Chief Operations Officer role.,Simple Flying,,Self-awareness,Generic
Airbus extends lead over Boeing with 415 jet sales in October,"Airbus (AIR.PA) had 415 airplane orders in October, including its largest ever from a single airline, extending a wide lead over Boeing, which has been hit by the grounding of its 737 MAX.",Reuters,,Market,Commercial
"Emirates lança projeto inovador em conjunto com a Airbus, GE e outras empresas do setor ","O Aviation X Lab marca a parceria de longo prazo entre a Emirates e a Airbus, Collins Aerospace, GE Aviation e Thales, cujo objetivo é aprimorar a experiência de viagem. ",Aeroflap,,Deal,Generic
Australia's CPE Capital acquires Lockheed Martin supplier Levett ,"CPE Capital, Australia's pioneering institutional and private capital manager, has acquired South Australian precision components and assemblies supplierÂ ",Deal Street Asia,,M&A,Military
Liebherr-Aerospace to Provide Pneumatic Valves for New Rolls-Royce Business Jet Engine,"Liebherr-Aerospace has been selected to supply the pneumatic component package for Rolls-Royce’s next-generation business jet engine Pearl 700: Both the pneumatic valves and the actuation devices that control pneumatic power around the engine have been designed, are manufactured and serviced by Liebherr-Aerospace Toulouse SAS, Toulouse (France).",Aviation Pros,,Deal,Executive
Electric Aviation Company Scylax Forms Joint Venture With German Regional Airline,"The Munich, Germany aviation company Scylax GmbH has entered into a joint venture with the East Frisian FLN airline to provide electric aircraft. ",Clean Technica,,M&A,Commercial
CVC Capital Closes On Acquisition Of Ontic,"CVC Capital Partners’ CVC Fund VII has completed its purchase of BBA Aviation’s Ontic, a manufacturer of OEM-licensed parts for legacy aircraft, in a deal valued at more than $1.3 billion.",Aviation International News,,M&A,Executive
Major civil aviation deal inked at CIIE,China Southern Airlines signed a letter of intent with Rolls-Royce for engine purchases and maintenance at the second China International Import Expo on Wednesday.,SHINE,,Deal,Commercial
"Gogo, Airspan Partner to Build and Develop 5G Network for Aviation","Gogo, the leading global provider of broadband connectivity products and services for aviation, announced it has selected Airspan Networks to build and develop its 5G network for aviation.",The Fast Mode  ,,Deal,Executive
Dassault Systèmes 3DEXPERIENCE Attracts More Aviation Startups & OEMs,A series of startups and established aviation giants are joining the Dassault Systèmes’ (DS) 3DEXPERIENCE platform family to support their digital engineering initiatives.,Clean Technica,,Startup,Generic
"Airbus, CFM, sign trade deals as Macron visits China",Airbus and CFM took the opportunity of French president Emmanuel Macron’s visit to China to sign two deals. Airbus signed a new MOU that adds new capabilities to its Tianjin facility while CFM International signed a deal with a Chinese airline for engine services.,Asian Aviation  ,,Deal,Commercial
"MacroAsia, Japan's Konoike ink cross-acquisition deal",Lucio Tan-controlled Macro-Asia Corp.—the Philippines’ dominant aviation support service provider—and Japan’s Konoike Transport Co. Ltd yesterday announced a cross-acquisition deal which would see both firms acquiring stakes in each other’s units and benefiting from both the Philippine and Japanese aviation markets.,INQUIRER.net,,M&A,Commercial
"Boeing, China Aviation Supplies to jointly provide support to Chinese airlines","Boeing (BA.N) and China Aviation Supplies Co (CASC) said on Thursday they will tie up to provide enhanced operational support to Chinese airlines, which could involve cooperation in areas such as parts delivery or aircraft dismantling.",Reuters,,New service,Commercial
Rolls-Royce takes £1.4bn hit on troubled plane engines,"Rolls-Royce on Thursday said that problems with its Trent 1000 plane engines will hit the British group's 2019 profits by about £1.4 billion ($1.8 billion, 1.6 billion euros).",Saudi Gazette,,Financial,Commercial
GKN To Supply Key Parts Of Gulfstream G700,"Gulfstream Aerospace has selected GKN Aerospace as a key supplier for the company’s new $75 million flagship, the G700 ultra-long-range business jet.",Aviation Week,,Deal,Executive
Boeing Sees Demand For 2380 New Aircraft in India by 2038,"New Delhi: Global aerospace major Boeing expects a demand for 2,380 new aircraft in India, valued at $330 billion, over the next 20 years.",Silicon India,,Market,Commercial
Airbus reshuffles supply chain as former autos executive leaves group,"Airbus is seeking a new permanent leader of a $50 billion supply chain as Klaus Richter, chief procurement officer, steps down from his post at the Franco-German-led company to “pursue other professional challenges,” industry sources said.",Reuters,,Team,Generic
"Airbus começa a sentir impacto nas entregas, após EUA impor taxas de importação ","A Airbus espera que as tarifas de importação, recém-impostas decorrentes de sua disputa de subsídios com a Boeing, afetem um pequeno número de entregas este ano, mas teme que a situação se torne mais difícil em meados de 2020. ",Aeroflap,,Market,Commercial
Labour explores plans to ban private jets from UK airports from 2025,"Labour is exploring plans to ban private jets from UK airports from as early as 2025 should it win the election, in the party’s latest broadside against the super-rich.",The Guardian,,Geopolitc environment,Executive
FAA to limit the sharing of aircraft data,"In a related move to ensure operator security and privacy, the FAA said it will establish new terms-of-service agreements with aircraft tracking service providers that will limit the sharing of aircraft data, if operators want to opt out from having their flight information broadcast over the internet.",Business Airport International  ,,Regulation,Generic
China will support its firms in purchases of Airbus planes: Xinhua,"China will support its firms’ purchases of Airbus (AIR.PA) planes, state news agency Xinhua said on Wednesday, citing commitments by French President Emmanuel Macron and Chinese President Xi Jinping during a meeting.",Reuters,,Geopolitc environment,Commercial
Two Lessors Move Toward Digital Aircraft Lease Transfers,GE Aviation’s AirVault Asset Transfer System is designed to allow lessors and operators a way to digitally standardize and organize records.,MRO Network,,New service,Commercial
Trade tensions with U.S. may have delayed China decision on CR929 engine pick: GE,"U.S.-China trade tensions may have delayed the decision by China’s state aircraft manufacturer to choose an engine supplier for the widebody jet programme CR929, the Greater China President of GE Aviation said on Thursday.",Reuters,,Geopolitc environment,Commercial
Nine EU Countries Call for European Aviation Tax to Curb Emissions,Nine European Union states have called on the bloc's incoming executive Commission to introduce an EU-wide tax on aviation so as to charge a polluting industry more for its emissions and put all member states on level pegging.,The New York Times,,Enviromental issues,Generic
GE aviation leasing arm changes CEO,"GE [NYSE: GE] on Wednesday promoted Greg Conlon to president and CEO of its aviation finance and leasing arm to replace Alec Burger, who will continue as head of GE Capital and serve as chairman of GE Capital Aviation Services.",American Shipper,,Team,Commercial
Airbus expands startup program,Airbus has selected another 22 startups to join its BizLab for the launch of the fifth accelerator program to develop new technologies and ways of working in the aerospace sector.,Aerospace Testing International,,Startup,Generic
Airbus anuncia protótipo de avião híbrido elétrico em 2021,Airbus anuncia protÃ³tipo de aviÃ£o hÃ­brido elÃ©trico em 2021. Fabricante de aviÃµes anunciou esta terÃ§a-feira na Web Summit que aeronaves estarÃ£o operacionaisÂ ,Correio da Manhã,,New aircraft,Commercial
Will Blockchain Bring Transparency To Aviation Supply Chain?,"Distributed ledgers could herald a new era of data collaboration within the aftermarket, but is the industry ready?",MRO Network,,New technology,Generic
Safran’s New Aviation Electric Motors — CleanTechnica Interview,I met with the Safran team at the National Business Aviation Association–Business Aviation Convention & Exhibition (NBAA-BACE) event two weeks ago for the introduction of their newly revealed ENGINeUS aviation electric motors.,CleanTechnica,,Product,Generic
Will Drones Finally Be Permitted To Do Inspections?,"Despite being trialed for a number of years, drone techniques have yet to be certified.",MRO Network,,New technology,Generic
Supersonic aircraft will employ 3D-printed components,Stratasys has deepened its partnership with Boom Supersonic – the Colorado-based company building the world’s fastest ever supersonic airliner.,Plastics Today,,New technology,Commercial
Airbus is developing a camouflage drone that will be undetectable on radar,"Airbus' defence division has presented perhaps the most ambitious drone project in the world, and it could be a serious next big step for unmanned aerial vehicles.",Business Insider ,,UAV,Military
$1.7M Dept. of Energy grant to accelerate creation of sustainable aviation fuels,A new grant from the U.S. Department of Energy (DOE) will accelerate research by the Purdue Polytechnic Institute toward generating sustainable aviation fuels.,Purdue Polytechnic Institute ,,Fueling,Generic
